Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
fsh-generated/resources/Observation-ex-weight-period-start.json	643	5	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	153	46	0	0	1	0	0	0
fsh-generated/resources/Observation-ex-weight-period.json	662	5	1	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	114	37	0	0	0	0	0	0
fsh-generated/resources/Patient-ex-patient.json	961	6	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	207	34	0	0	0	0	0	0
fsh-generated/resources/Practitioner-ex-practitioner.json	167	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	40	45	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-FM-Adopted.json	1392	7	0	0	0	0	0	31	0	62	0	0	1	0	0	0	0	0	0	0	268	895	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-FM-Ethnicity.json	1856	7	0	0	0	0	0	33	0	35	0	0	1	0	0	0	0	0	0	0	271	618	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-FM-MultiBirth.json	1516	7	0	0	0	0	0	39	0	36	0	0	0	0	0	0	0	0	0	0	247	502	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-FM-Race.json	1797	6	1	0	0	0	0	35	0	35	0	0	1	0	0	0	0	0	0	0	217	571	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-VA.MHV.BlueBundle.json	3640	12	0	0	0	0	0	479	0	401	0	0	1	0	0	0	0	2	0	0	1674	2592	0	0	0	23	0	1
fsh-generated/resources/StructureDefinition-VA.MHV.BlueComposition.json	3096	10	0	0	0	0	0	265	0	243	0	0	0	0	0	0	0	0	0	0	1080	1214	0	0	0	13	0	1
fsh-generated/resources/StructureDefinition-VA.MHV.allergy.json	8253	23	0	0	0	0	0	205	0	245	0	0	1	0	0	0	0	1	0	0	630	1427	0	0	0	14	0	1
